7 de agosto;98;100;9G;12;98;;9G;;;;;;;
Abajo;36;53;46;54;36;VIA  40;46;;;;;;;
Alfonso López;45;53D;21;23;45;;21;;;;;;;
Altamira;90;91;46;51;90;;46;;;;;;;
Altos de Riomar;90;97;53;65;90;;53;;;;;;;
Altos del Limón;92;97;51B;52D;92;;51B;;;;;;;
Altos del Prado;82;83;53;59c;82;;53;;;;;;;
América;74;81;47;51;74;;47;;;;;;;
Andalucía;84;89;53;65;84;;53;;;;;;;
Atlántico;38;44;26;29;38;;26;;;;;;;
Barlovento;20;VIA-40 ;46;51;20;30;46;;;;;;;
Bella Arena;40;37;1;2;40;;1;;;;;;;
Bellavista;72;74;62;76;72;;62;;;;;;;
Betania;72A;75;38;41;72A;;38;;;;;;;
Boston;54;67;43;50;54;;43;;;;;;;
Boyacá;30;36;19;23;30;;19;;;;;;;
Buena Esperanza;63;62;14A;21;63;;14A;;;;;;;
Buenos Aires;45;45B-4;4A;7C;45;;4A;;;;;;;
California;90;100;6;7;90;;6;;;;;;;
Campo Alegre;84;92;38;41j;84;;38;;;;;;;
Carlos Meisel;72c;78;23A;25;72c;DIAG  78;23A;;;;;;;
Carrizal;DIAG 49;51B;1A;4C;DIAG 49;52C;1A;2F;;;;;;
Centro;30;37;38;46;30;;38;;;;;;;
Cevillar;45D;47;14;19;45D;;14;;;;;;;
Chiquinquirá;39;49;30;37;39;49;30;;;;;;;
Ciudad Jardín;74;81;41f;42h;74;83;41f;42;;;;;;
Ciudad Modesto;84;98;13A;14;84;;13A;;;;;;;
Ciudadela Veinte de Julio;45;49;14 SUR;diag 49;45;48;9 sur;14 sur;;;;;;
Colombia;68;73;47;50;68;;47;;;;;;;
El Boliche;8;29;38;41;8;;38;;;;;;;
El Bosque;10;75;56;diag 64b;6;10;56;;;;;;;
El Campito;36;39;8;10;36;;8;;;;;;;
El Carmen;47;53C;16;21;47;;16;;;;;;;
El Castillo;79;81;76;82;79;;76;;;;;;;
El Country;76;78;53;59b;76;;53;;;;;;;
El Ferry;3;10;2;8;3;;2;;;;;;;
El Golf;79;81;55;59c;79;;55;;;;;;;
El Limón;30;33;5b;6a;30;;5b;;;;;;;
El Poblado;92;96;46;51;92;;46;;;;;;;
El Porvenir;72;81;43;46;72;;43;;;;;;;
El Prado;59;76;51;61;59;;51;;;;;;;
El Pueblo;110;125;10;13;110;;10;;;;;;;
El Recreo;45;68;36;42;45;50;36;34;;;;;;
El Romance;82;91;7;9;82;97;7;8;;;;;;
El Rosario;38;45;38;43;38;53;38;45;;;;;;
El Santuario;45B-5;51D;5;7D;45B-5;45;5;8D;;;;;;
El Silencio;72A;80;26a;29;72A;;26a;;;;;;;
El Tabor;93;99;42b1;45;93;;42b1;;;;;;;
El Tayrona;30;33;6B;7;30;;6B;;;;;;;
El Valle;64;72;15A;22;64;;15A;;;;;;;
Evaristo Sourdis;84;97;9A;10;84;DIAG 64B;9A;;;;;;;
Granadillo;82;85;43;45;82;;43;;;;;;;
José Antonio Galán (Cacho Solo);34;38B;2;6A;34;;2;;;;;;;
Kennedy;49;DIAG 54;8E;9D;49;;8E;;;;;;;
La Alboraya;40;44;7E;8H;40;;7E;;;;;;;
La Campiña;86;92;43;45;86;;43;;;;;;;
;;;;;;;;;;;;;;
La Ceiba;53D;60;10;17;53D;;10;;;;;;;
La Chinita;5;16;9;15;5;DIAG 5;9;;;;;;;
La Concepción;75;77;62;72;75;;62;;;;;;;
La Cumbre;88;92;42B1;42h;88;;42B1;;;;;;;
La Esmeralda;73;83;13A;15;73;;13A;;;;;;;
La Floresta;91;85A;75A;80;91;;75A;;;;;;;
La Florida;80;80D;32;37;80;;32;;;;;;;
La Gloria;90;100;6;7;90;;6;;;;;;;
La Libertad;73;80;25A;26;73;;25A;;;;;;;
La Luz;15A;16;DIAG 5;5;15A;26;DIAG 5;;;;;;;
La Magdalena;38B;44;4A;7;38B;;4A;;;;;;;
La Manga;84;106;13A;15;84;DIAG  77D;13A;;;;;;;
La Paz;100;109;12A;13;100;;12A;;;;;;;
